"","Agency.Name","State.Name","Total.General.Revenue","Number.Public.Schools","leaid11","County.Name","Full.Time.Teachers","Pupil.Teacher.Ratio","Total.Students"
"382","ALTOONA AREA SD","Pennsylvania",90202000,13,4202340,"BLAIR COUNTY",496.77,15.92,7910
"383","ALTOONA SCHOOL DISTRICT","Wisconsin",17779000,3,5500270,"EAU CLAIRE COUNTY",88.66,17.63,1563
"384","ALTOONA-MIDWAY","Kansas",2583000,2,2004170,"WILSON COUNTY",28.5,6.25,178
"385","ALTUS","Oklahoma",30151000,8,4002850,"JACKSON COUNTY",268.3,14.44,3873
"386","ALUM ROCK UNION ELEMENTARY","California",133827000,28,602310,"SANTA CLARA COUNTY",649.74,19.92,12941
"387","ALVA","Oklahoma",10694000,5,4002880,"WOODS COUNTY",75.1,12.46,936
"388","ALVARADO ISD","Texas",32574000,9,4800011,"JOHNSON COUNTY",201.43,16.62,3348
"389","ALVIEW-DAIRYLAND UNION ELEMENTARY","California",3120000,2,602360,"MADERA COUNTY",17.1,20.88,357
"390","ALVIN C YORK INSTITUTE","Tennessee",NA,1,4700144,"FENTRESS COUNTY",59,11.53,680
"391","ALVIN ISD","Texas",176341000,24,4808090,"BRAZORIA COUNTY",1075.67,16.93,18209
"392","ALVINA ELEMENTARY","California",1660000,1,602370,"FRESNO COUNTY",9.25,21.84,202
"393","ALVORD ISD","Texas",7824000,3,4808100,"WISE COUNTY",54.31,13.28,721
"394","ALVORD UNIFIED","California",168561000,21,602430,"RIVERSIDE COUNTY",732.95,26.93,19741
"395","ALWOOD CUSD 225","Illinois",5114000,2,1703660,"HENRY COUNTY",37.88,11.59,439
"396","ALXNDR/JOHN/MASC/PULSKI/UNON ROE","Illinois",NA,3,1700163,"ALEXANDER COUNTY",3.3,NA,NA
"397","ALZADA ELEM","Montana",39000,1,3001950,"CARTER COUNTY",1,2,2
"398","AMADOR COUNTY OFFICE OF EDUCATION","California",10215000,2,691001,"AMADOR COUNTY",40.52,7.01,284
"399","AMADOR COUNTY ROP","California",NA,1,600089,"AMADOR COUNTY",NA,NA,NA
"400","AMADOR COUNTY UNIFIED","California",31884000,12,602450,"AMADOR COUNTY",155,25.55,3960
"401","AMAGANSETT UNION FREE SCHOOL DISTRICT","New York",8629000,1,3602880,"SUFFOLK COUNTY",17.21,7.09,122
"402","AMANDA-CLEARCREEK LOCAL","Ohio",15935000,4,3904684,"FAIRFIELD COUNTY",77.44,21.05,1630
"403","AMANI PUBLIC CHARTER SCHOOL","New York",NA,1,3601051,"WESTCHESTER COUNTY",4.76,17.23,82
"404","AMARILLO ISD","Texas",287021000,54,4808130,"POTTER COUNTY",2259.76,14.6,32995
"405","AMBASSADOR ACADEMY","Arizona",311000,1,400753,"MARICOPA COUNTY",NA,NA,29
"406","AMBASSADORS PREPARATORY ACADEMY","Texas",2374000,1,4800284,"GALVESTON COUNTY",20.71,11.11,230
"407","AMBER CHARTER SCHOOL","New York",NA,1,3600039,"NEW YORK COUNTY",26,17.04,443
"408","AMBER-POCASSET","Oklahoma",4167000,3,4002910,"GRADY COUNTY",32.5,14.62,475
"409","AMBOY CUSD 272","Illinois",8822000,3,1703690,"LEE COUNTY",59.5,13.71,816
"410","AMBRIDGE AREA SD","Pennsylvania",39581000,5,4202440,"BEAVER COUNTY",161.5,16.95,2737
"411","AMELIA CO PBLC SCHS","Virginia",16625000,3,5100180,"AMELIA COUNTY",131.6,13.53,1780
"412","AMELIA-NOTTOWAY VOC CTR","Virginia",NA,1,5100013,"AMELIA COUNTY",0,NA,NA
"413","AMERICAN BASIC SCHOOLS LLC","Arizona",5827000,1,400218,"MARICOPA COUNTY",NA,NA,883
"414","AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. ALTA VISTA HIGH S","Arizona",3795000,1,400619,"PIMA COUNTY",NA,NA,478
"415","AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. APACHE TRAIL HIGH","Arizona",1628000,1,400357,"PINAL COUNTY",NA,NA,164
"416","AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. CRESTVIEW COLLEGE","Arizona",2415000,1,400385,"MARICOPA COUNTY",NA,NA,272
"417","AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. DESERT HILLS HIGH","Arizona",3182000,1,400384,"MARICOPA COUNTY",NA,NA,424
"418","AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. ESTRELLA HIGH SCH","Arizona",3041000,1,400352,"MARICOPA COUNTY",NA,NA,376
"419","AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. PEORIA ACCELERATE","Arizona",3465000,1,400353,"MARICOPA COUNTY",NA,NA,421
"420","AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. SOUTH POINTE HIGH","Arizona",4384000,1,400618,"MARICOPA COUNTY",NA,NA,513
"421","AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. SOUTH RIDGE HIGH","Arizona",3585000,1,400447,"MARICOPA COUNTY",NA,NA,441
"422","AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. SUN VALLEY HIGH S","Arizona",3955000,1,400354,"MARICOPA COUNTY",NA,NA,484
"423","AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. WEST PHOENIX HIGH","Arizona",4284000,1,400355,"MARICOPA COUNTY",NA,NA,516
"424","AMERICAN FALLS JOINT DISTRICT","Idaho",12797000,5,1600060,"POWER COUNTY",92.95,15.69,1458
"425","AMERICAN HERITAGE ACADEMY","Arizona",3076000,2,400130,"YAVAPAI COUNTY",NA,NA,461
"426","AMERICAN INTERNATIONAL ACADEMY","Michigan",1192000,1,2600986,"WAYNE COUNTY",6,18.17,109
"427","AMERICAN LEADERSHIP ACADEMY","Utah",2274000,1,4900033,"UTAH COUNTY",69.36,21.94,1522
"428","AMERICAN LEADERSHIP ACADEMY  INC.","Arizona",7430000,3,400112,"MARICOPA COUNTY",NA,NA,1174
"429","AMERICAN MONTESSORI ACADEMY","Michigan",3977000,2,2600312,"WAYNE COUNTY",25.5,18.75,478
"430","AMERICAN PREPARATORY ACADEMY--LEA","Utah",12045000,4,4900005,"SALT LAKE COUNTY",81.97,22.67,1858
"431","AMERICAN RENAISSANCE SCHOOL","North Carolina",3812000,1,3700086,"IREDELL COUNTY",32.9,15.87,522
"432","AMERICAN YOUTHWORKS CHARTER SCHOOL","Texas",1552000,1,4800027,"TRAVIS COUNTY",14.72,7.88,116
"433","AMERY SCHOOL DISTRICT","Wisconsin",22326000,4,5500300,"POLK COUNTY",97.56,17.11,1669
"434","AMES COMM SCHOOL DISTRICT","Iowa",63517000,8,1903540,"STORY COUNTY",305.08,14.47,4414
"435","AMESBURY","Massachusetts",35755000,4,2501860,"ESSEX COUNTY",152.47,15.18,2315
"436","AMESBURY ACADEMY CHARTER PUBLIC (DISTRICT)","Massachusetts",836000,1,2500069,"ESSEX COUNTY",5.47,8.96,49
"437","AMHERST","Massachusetts",25961000,3,2501890,"HAMPSHIRE COUNTY",113.38,10.71,1214
"438","AMHERST CENTRAL SCHOOL DISTRICT","New York",49316000,4,3602920,"ERIE COUNTY",259.9,11.66,3030
"439","AMHERST CO PBLC SCHS","Virginia",48351000,10,5100210,"AMHERST COUNTY",366.01,12.37,4526
"440","AMHERST EXEMPTED VILLAGE","Ohio",41174000,6,3904519,"LORAIN COUNTY",225.99,18.31,4137
"441","AMHERST ISD","Texas",1859000,2,4808160,"LAMB COUNTY",19.43,7.67,149
"442","AMHERST PUBLIC SCHOOLS","Nebraska",3588000,2,3100070,"BUFFALO COUNTY",23.62,13.55,320
"443","AMHERST SAU OFFICE","New Hampshire",NA,NA,3399939,"HILLSBOROUGH COUNTY",0,NA,NA
"444","AMHERST SCHOOL DISTRICT","New Hampshire",24208000,2,3301470,"HILLSBOROUGH COUNTY",105.3,12.45,1311
"445","AMHERST-PELHAM","Massachusetts",34914000,2,2501920,"HAMPSHIRE COUNTY",125.89,12.27,1545
"446","AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH","Texas",4674000,1,4800113,"HARRIS COUNTY",23.81,20.37,485
"447","AMIKIDS  INC.","Louisiana",NA,9,2200057,"LAFOURCHE PARISH",0,NA,289
"448","AMISTAD ACADEMY DISTRICT","Connecticut",26076000,1,900024,"NEW HAVEN COUNTY",77.8,11.02,857
"449","AMITE CO SCHOOL DIST","Mississippi",14564000,3,2800420,"AMITE COUNTY",76.71,13.84,1062
"450","AMITY SD 4J","Oregon",8250000,4,4101230,"YAMHILL COUNTY",48.61,17.9,870
"451","AMITYVILLE UNION FREE SCHOOL DISTRICT","New York",77249000,5,3602940,"SUFFOLK COUNTY",241.48,12.41,2997
"452","AMORY SCHOOL DIST","Mississippi",14108000,5,2800450,"MONROE COUNTY",115.97,16.03,1859
"453","AMPHITHEATER UNIFIED DISTRICT","Arizona",140194000,20,400680,"PIMA COUNTY",819.49,17.6,14422
"454","AMSTERDAM CITY SCHOOL DISTRICT","New York",60344000,6,3602970,"MONTGOMERY COUNTY",272.71,13.38,3648
"455","AMSTERDAM ELEM","Montana",1186000,1,3001980,"GALLATIN COUNTY",9.59,16.06,154
"456","AMY BIEHL CHARTER HIGH SCHOOL","New Mexico",NA,1,3500131,"BERNALILLO COUNTY",20.6,14.27,294
"457","ANACONDA ELEM","Montana",8614000,3,3002010,"DEER LODGE COUNTY",49.52,14.98,742
"458","ANACONDA H S","Montana",3987000,1,3002030,"DEER LODGE COUNTY",19.66,18.06,355
"459","ANACORTES SCHOOL DISTRICT","Washington",29836000,7,5300150,"SKAGIT COUNTY",129.96,21.16,2750
"460","ANADARKO","Oklahoma",18436000,5,4003000,"CADDO COUNTY",121.8,16.4,1997
"461","ANAHEIM CITY","California",185235000,24,602610,"ORANGE COUNTY",746.98,25.85,19312
"462","ANAHEIM UNION HIGH","California",327952000,21,602630,"ORANGE COUNTY",1264.13,25.87,32704
"463","ANAHUAC ISD","Texas",12067000,5,4808190,"CHAMBERS COUNTY",90.27,13.39,1209
"464","ANAMOOSE 14","North Dakota",1658000,1,3801950,"MCHENRY COUNTY",8.7,8.51,74
"465","ANAMOSA COMM SCHOOL DISTRICT","Iowa",16447000,3,1903570,"JONES COUNTY",97.57,13.55,1322
"466","ANCHOR BAY SCHOOL DISTRICT","Michigan",61897000,11,2602790,"ST. CLAIR COUNTY",288.86,21.7,6268
"467","ANCHORAGE INDEPENDENT","Kentucky",7132000,1,2100090,"JEFFERSON COUNTY",31.94,11.21,358
"468","ANCHORAGE SCHOOL DISTRICT","Alaska",746315000,97,200180,"ANCHORAGE MUNICIPALITY",2966.52,16.44,48765
"469","ANDALUSIA CITY","Alabama",15176000,3,100060,"COVINGTON COUNTY",109.99,15.55,1710
"470","ANDERSON","Oklahoma",2640000,1,4003010,"OSAGE COUNTY",19.5,14.67,286
"471","ANDERSON 01","South Carolina",78477000,14,4500780,"ANDERSON COUNTY",504.7,18.38,9275
"472","ANDERSON 02","South Carolina",33847000,7,4500810,"ANDERSON COUNTY",207.4,17.64,3659
"473","ANDERSON 03","South Carolina",24001000,5,4500840,"ANDERSON COUNTY",160.5,16.1,2584
"474","ANDERSON 04","South Carolina",34015000,6,4500870,"ANDERSON COUNTY",188.6,15.2,2866
"475","ANDERSON 05","South Carolina",132270000,20,4500900,"ANDERSON COUNTY",820.4,15.31,12559
"476","ANDERSON 80","South Carolina",0,1,4500760,"ANDERSON COUNTY",27.7,0,0
"477","ANDERSON COMMUNITY SCHOOL CORP","Indiana",110982000,12,1800150,"MADISON COUNTY",421.12,16.96,7142
"478","ANDERSON COUNTY","Kentucky",37874000,7,2100120,"ANDERSON COUNTY",217,18.33,3977
"479","ANDERSON COUNTY","Tennessee",65388000,17,4700090,"ANDERSON COUNTY",528,13.16,6948
"480","ANDERSON ELEM","Montana",1983000,2,3002070,"GALLATIN COUNTY",12.23,16.68,204
"481","ANDERSON PREPARATORY ACADEMY","Indiana",4919000,1,1800077,"MADISON COUNTY",64.9,13.41,870
