"","Agency.Name","State.Name","Total.General.Revenue","Number.Public.Schools","leaid11","County.Name","Full.Time.Teachers","Pupil.Teacher.Ratio","Total.Students"
"11475","NORTHEAST BRADFORD SD","Pennsylvania",12449000,2,4217460,"BRADFORD COUNTY",59,13.68,807
"11476","NORTHEAST CENTRAL SCHOOL DISTRICT","New York",18836000,3,3630390,"DUTCHESS COUNTY",72.52,10.88,789
"11477","NORTHEAST COMM SCHOOL DISTRICT","Iowa",9501000,2,1921090,"CLINTON COUNTY",53.66,10.34,555
"11478","NORTHEAST DUBOIS CO SCH CORP","Indiana",10756000,4,1808120,"DUBOIS COUNTY",63.79,15.63,997
"11479","NORTHEAST GEORGIA RESA","Georgia",8943000,1,1300010,"CLARKE COUNTY",32,NA,NA
"11480","NORTHEAST HAMILTON COMM SCHOOL DISTRICT","Iowa",3920000,3,1921120,"HAMILTON COUNTY",22.97,10.27,236
"11481","NORTHEAST KINGDOM LEARNING SERVICES","Vermont",NA,NA,5000373,"ORLEANS COUNTY",0,NA,NA
"11482","NORTHEAST KS EDUCATION SERV CNTR","Kansas",NA,NA,2000039,"JEFFERSON COUNTY",7.2,0,0
"11483","NORTHEAST METRO 916","Minnesota",37628000,20,2702264,"RAMSEY COUNTY",126.46,1.86,235
"11484","NORTHEAST METROPOLITAN REGIONAL VOCATIONAL TECHNICAL","Massachusetts",25327000,1,2508960,"MIDDLESEX COUNTY",108.33,11.55,1251
"11485","NORTHEAST NE JUVENILE SERVICES","Nebraska",NA,1,3100154,"MADISON COUNTY",4,0,0
"11486","NORTHEAST NODAWAY CO. R-V","Missouri",2845000,2,2921660,"NODAWAY COUNTY",20.34,11.46,233
"11487","NORTHEAST OHIO COLLEGE PREPARATORY SCHOOL","Ohio",2972000,1,3901376,"CUYAHOGA COUNTY",15.01,22.58,339
"11488","NORTHEAST RANDOLPH CO. R-IV","Missouri",3803000,2,2922860,"RANDOLPH COUNTY",35.79,12.07,432
"11489","NORTHEAST REGIONAL SCHOOL - BIOTECH/AGRI","North Carolina",NA,1,3700321,"WASHINGTON COUNTY",NA,NA,NA
"11490","NORTHEAST SCHOOL CORP","Indiana",15372000,6,1808160,"SULLIVAN COUNTY",96.82,14.57,1411
"11491","NORTHEAST TECH. CENTER- AFTON","Oklahoma",NA,NA,4000083,"OTTAWA COUNTY",0,NA,NA
"11492","NORTHEAST TECH. CENTER- CLAREMORE","Oklahoma",NA,NA,4000754,"ROGERS COUNTY",0,NA,NA
"11493","NORTHEAST TECH. CENTER- KANSAS","Oklahoma",NA,NA,4000060,"DELAWARE COUNTY",0,NA,NA
"11494","NORTHEAST TECH. CENTER- PRYOR","Oklahoma",NA,NA,4000072,"MAYES COUNTY",0,NA,NA
"11495","NORTHEAST TECHNICAL HIGH SCHOOL","South Dakota",NA,1,4680170,"CODINGTON COUNTY",13.08,NA,NA
"11496","NORTHEAST VERNON CO. R-I","Missouri",2293000,2,2927600,"VERNON COUNTY",24.46,11,269
"11497","NORTHEAST WYOMING BOCES","Wyoming",NA,NA,5680180,"CAMPBELL COUNTY",0,NA,0
"11498","NORTHEASTERN CLINTON CENTRAL SCHOOL DISTRICT","New York",25800000,4,3621250,"CLINTON COUNTY",123.53,10.66,1317
"11499","NORTHEASTERN EDUCATIONAL IU 19","Pennsylvania",32526000,NA,4289290,"LACKAWANNA COUNTY",106.6,2.42,258
"11500","NORTHEASTERN LOCAL","Ohio",32389000,7,3904625,"CLARK COUNTY",209.58,16.76,3513
"11501","NORTHEASTERN LOCAL","Ohio",11057000,4,3904672,"DEFIANCE COUNTY",106.26,10.32,1097
"11502","NORTHEASTERN UTAH ED SERV","Utah",NA,NA,4900028,"WASATCH COUNTY",0,NA,NA
"11503","NORTHEASTERN WAYNE SCHOOLS","Indiana",11751000,2,1808190,"WAYNE COUNTY",65.98,17.26,1139
"11504","NORTHEASTERN YORK SD","Pennsylvania",54871000,8,4217520,"YORK COUNTY",260,14.56,3786
"11505","NORTHERN ADIRONDACK CENTRAL SCHOOL DISTRICT","New York",18367000,2,3621260,"CLINTON COUNTY",88.89,9.7,862
"11506","NORTHERN ARIZONA VOCATIONAL INSTITUTE OF TECHNOLOGY","Arizona",4210000,12,400197,"NAVAJO COUNTY",0,NA,21
"11507","NORTHERN BEDFORD COUNTY SD","Pennsylvania",12575000,2,4217580,"BEDFORD COUNTY",80.7,13.47,1087
"11508","NORTHERN BERKSHIRE REGIONAL VOCATIONAL TECHNICAL","Massachusetts",10049000,1,2508950,"BERKSHIRE COUNTY",39.77,11.82,470
"11509","NORTHERN BURLINGTON COUNTY REGIONAL SCHOOL DISTRICT","New Jersey",37451000,2,3411700,"BURLINGTON COUNTY",149,13.2,1967
"11510","NORTHERN CALIF. MEDI-CAL ADMIN. SERVICES JPA","California",2637000,NA,601370,"STANISLAUS COUNTY",NA,NA,NA
"11511","NORTHERN CAMBRIA SD","Pennsylvania",16072000,3,4217610,"CAMBRIA COUNTY",73,16.74,1222
"11512","NORTHERN CASS 97","North Dakota",6468000,3,3800044,"CASS COUNTY",38,14.53,552
"11513","NORTHERN HIGHLANDS REGIONAL HIGH SCHOOL","New Jersey",27841000,1,3411730,"BERGEN COUNTY",112.3,12.02,1350
"11514","NORTHERN HUMBOLDT UNION HIGH","California",19243000,7,603030,"HUMBOLDT COUNTY",85.3,20.06,1711
"11515","NORTHERN IN EDUCATION CENTER","Indiana",NA,NA,1800040,"ST. JOSEPH COUNTY",0,NA,NA
"11516","NORTHERN KANE CO REG VOC SYSTEM","Illinois",1593000,NA,1700279,"KANE COUNTY",0,NA,NA
"11517","NORTHERN KY COOPERATIVE FOR EDUCATIONAL SERVICES","Kentucky",NA,NA,2100112,"CAMPBELL COUNTY",0,NA,NA
"11518","NORTHERN LAKES SPECIAL ED. COOP","Minnesota",NA,1,2700121,"ITASCA COUNTY",0,NA,0
"11519","NORTHERN LEBANON SD","Pennsylvania",31154000,6,4217640,"LEBANON COUNTY",161.9,14.54,2354
"11520","NORTHERN LEHIGH SD","Pennsylvania",28804000,4,4217670,"LEHIGH COUNTY",127,14.12,1793
"11521","NORTHERN LIGHTS COMMUNITY SCHOOL","Minnesota",1647000,1,2700256,"ITASCA COUNTY",8.45,13.14,111
"11522","NORTHERN LOCAL","Ohio",25081000,5,3904905,"PERRY COUNTY",138.68,15.91,2207
"11523","NORTHERN NECK REGIONAL","Virginia",NA,1,5100016,"NORTHUMBERLAND COUNTY",0,NA,NA
"11524","NORTHERN NECK REGIONAL ALTERNATIVE ED","Virginia",NA,1,5100097,"RICHMOND COUNTY",0,NA,NA
"11525","NORTHERN NECK TECHNICAL CTR","Virginia",NA,1,5100012,"RICHMOND COUNTY",0,NA,NA
"11526","NORTHERN OZAUKEE SCHOOL DISTRICT","Wisconsin",14964000,5,5504890,"OZAUKEE COUNTY",69.44,19.66,1365
"11527","NORTHERN PLAINS SPECIAL ED UNIT","North Dakota",393000,1,3880180,"DIVIDE COUNTY",0.8,NA,NA
"11528","NORTHERN POTTER SD","Pennsylvania",9345000,2,4217700,"POTTER COUNTY",44.93,12.91,580
"11529","NORTHERN SUBURBAN SPEC ED DIST","Illinois",47375000,4,1700031,"LAKE COUNTY",74.3,NA,NA
"11530","NORTHERN TIER CAREER CENTER","Pennsylvania",3973000,1,4280510,"BRADFORD COUNTY",13,0,0
"11531","NORTHERN TIOGA SD","Pennsylvania",30978000,5,4217730,"TIOGA COUNTY",183,11.41,2088
"11532","NORTHERN VALLEY","Kansas",2859000,3,2003270,"NORTON COUNTY",28.3,7.63,216
"11533","NORTHERN VALLEY REGIONAL HIGH SCHOOL","New Jersey",75867000,2,3411760,"BERGEN COUNTY",224.2,11.6,2600
"11534","NORTHERN WELLS COM SCHOOLS","Indiana",24809000,4,1808220,"WELLS COUNTY",133.04,19.02,2530
"11535","NORTHERN WESTMORELAND CTC","Pennsylvania",2940000,1,4280490,"WESTMORELAND COUNTY",13,0,0
"11536","NORTHERN YORK COUNTY SD","Pennsylvania",39183000,6,4217760,"YORK COUNTY",212.4,14.87,3159
"11537","NORTHFIELD CITY SCHOOL DISTRICT","New Jersey",15820000,2,3411790,"ATLANTIC COUNTY",82.2,12.68,1042
"11538","NORTHFIELD PUBLIC SCHOOL DISTRICT","Minnesota",49622000,7,2723880,"RICE COUNTY",231.89,16.77,3889
"11539","NORTHFIELD PUBLIC SCHOOLS","Maine",173000,NA,2309090,"WASHINGTON COUNTY",0,NA,21
"11540","NORTHFIELD SCHOOL DISTRICT","Vermont",10331000,2,5006120,"WASHINGTON COUNTY",56.6,11.64,659
"11541","NORTHFIELD TWP HSD 225","Illinois",124905000,4,1729010,"COOK COUNTY",354.75,13.39,4750
"11542","NORTHGATE SD","Pennsylvania",20062000,3,4217770,"ALLEGHENY COUNTY",104,11.61,1207
"11543","NORTHLAND COMMUNITY SCHOOLS","Minnesota",6419000,3,2730870,"CASS COUNTY",30.44,13.04,397
"11544","NORTHLAND LEARNING CENTER","Minnesota",6114000,6,2700224,"ST. LOUIS COUNTY",13.22,2.19,29
"11545","NORTHLAND PINES SCHOOL DISTRICT","Wisconsin",24987000,5,5503860,"VILAS COUNTY",112.44,12.64,1421
"11546","NORTHLAND PREPARATORY ACADEMY","Arizona",4533000,1,400097,"COCONINO COUNTY",NA,NA,558
"11547","NORTHLAND PREPARATORY AND FITNESS ACADEMY","Ohio",2638000,1,3900552,"FRANKLIN COUNTY",15.55,16.4,255
"11548","NORTHMONT CITY","Ohio",58978000,8,3904872,"MONTGOMERY COUNTY",284.67,18.28,5204
"11549","NORTHMOR LOCAL","Ohio",14014000,2,3904881,"MORROW COUNTY",61.95,17.48,1083
"11550","NORTHPOINTE ACADEMY","Ohio",3033000,1,3901319,"LUCAS COUNTY",14,20.86,292
"11551","NORTHPOINTE ACADEMY","Michigan",3105000,1,2600323,"WAYNE COUNTY",21,15.48,325
"11552","NORTHPORT PUBLIC SCHOOL DISTRICT","Michigan",4644000,1,2625920,"LEELANAU COUNTY",18.76,8.1,152
"11553","NORTHPORT SCHOOL DISTRICT","Washington",3262000,3,5305880,"STEVENS COUNTY",13.71,18.16,249
"11554","NORTHPORT-EAST NORTHPORT UNION FREE SCHOOL DISTRICT","New York",151197000,9,3621270,"SUFFOLK COUNTY",534.98,11.62,6217
"11555","NORTHRIDGE ACADEMY","Michigan",2728000,1,2600194,"GENESEE COUNTY",14.5,19.03,276
"11556","NORTHRIDGE LOCAL","Ohio",14404000,4,3904803,"LICKING COUNTY",70.93,17.93,1272
"11557","NORTHRIDGE LOCAL","Ohio",23454000,5,3904873,"MONTGOMERY COUNTY",108.9,16.59,1807
"11558","NORTHSHORE SCHOOL DISTRICT","Washington",252515000,34,5305910,"SNOHOMISH COUNTY",957.24,20.7,19811
"11559","NORTHSIDE CHARTER HIGH SCHOOL","New York",NA,1,3600948,"KINGS COUNTY",24.07,11.3,272
"11560","NORTHSIDE ISD","Texas",2055000,1,4833090,"WILBARGER COUNTY",17.81,9.83,175
"11561","NORTHSIDE ISD","Texas",931113000,112,4833120,"BEXAR COUNTY",5880.78,16.68,98110
"11562","NORTHUMBERLAND CO PBLC SCHS","Virginia",16678000,3,5102730,"NORTHUMBERLAND COUNTY",106.24,14.06,1494
"11563","NORTHUMBERLAND COUNTY CTC","Pennsylvania",1883000,1,4280491,"NORTHUMBERLAND COUNTY",10,0,0
"11564","NORTHUMBERLAND SAU OFFICE","New Hampshire",NA,NA,3399958,"COOS COUNTY",0,NA,NA
"11565","NORTHUMBERLAND SCHOOL DISTRICT","New Hampshire",6214000,3,3305400,"COOS COUNTY",34.9,9.89,345
"11566","NORTHVALE PUBLIC SCHOOL","New Jersey",10170000,2,3411820,"BERGEN COUNTY",45.9,12.35,567
"11567","NORTHVIEW PUBLIC SCHOOLS","Michigan",36121000,7,2625950,"KENT COUNTY",182.21,18.97,3456
"11568","NORTHVILLE CENTRAL SCHOOL DISTRICT","New York",9638000,2,3621300,"FULTON COUNTY",45.42,10.83,492
"11569","NORTHVILLE PUBLIC SCHOOLS","Michigan",95980000,12,2625980,"WAYNE COUNTY",368.03,19.49,7172
"11570","NORTHWEST ACADEMY","Michigan",989000,1,2600070,"CHARLEVOIX COUNTY",9.36,14.1,132
"11571","NORTHWEST AEA","Iowa",11385000,NA,1999012,"WOODBURY COUNTY",27.01,NA,NA
"11572","NORTHWEST ALLEN COUNTY SCHOOLS","Indiana",65238000,11,1808250,"ALLEN COUNTY",355.16,18.35,6517
"11573","NORTHWEST ARCTIC BOROUGH SCHOOL DISTRICT","Alaska",64003000,12,200625,"NORTHWEST ARCTIC BOROUGH",134.15,14.92,2001
"11574","NORTHWEST AREA SCHOOLS ED COOPERATIVE","South Dakota",392000,1,4680280,"DEWEY COUNTY",10,NA,NA
"11575","NORTHWEST AREA SD","Pennsylvania",18499000,3,4217790,"LUZERNE COUNTY",81,14.21,1151
"11576","NORTHWEST ARK. EDUCATION COOP","Arkansas",3573000,NA,500039,"WASHINGTON COUNTY",0,NA,NA
"11577","NORTHWEST ARKANSAS COMMUNITY COLLEGE REGIONAL CENTER","Arkansas",NA,1,500081,"WASHINGTON COUNTY",0,NA,0
"11578","NORTHWEST BOCES","Colorado",NA,NA,800248,"ROUTT COUNTY",0,NA,0
"11579","NORTHWEST COLO BOCES","Colorado",3263000,NA,899220,"ROUTT COUNTY",1.23,NA,NA
"11580","NORTHWEST COMMUNITY SCHOOLS","Michigan",25270000,5,2626010,"JACKSON COUNTY",142.35,19.93,2837
"11581","NORTHWEST EDUCATIONAL COUNCIL FOR STUDENT SUCCESS","Illinois",2101000,1,1700317,"COOK COUNTY",0,NA,NA
"11582","NORTHWEST EDUCATIONAL SERVICE DISTRICT 189","Washington",16268000,2,5300008,"SKAGIT COUNTY",20,1.2,24
"11583","NORTHWEST GEORGIA RESA","Georgia",7073000,NA,1300006,"FLOYD COUNTY",35,NA,NA
"11584","NORTHWEST IN EDUCATION CENTER","Indiana",995000,NA,1800130,"LAKE COUNTY",0,NA,NA
"11585","NORTHWEST INDIANA SPEC ED COOP","Indiana",24344000,1,1808320,"LAKE COUNTY",137.44,0.3,41
"11586","NORTHWEST ISD","Texas",205412000,27,4833180,"DENTON COUNTY",1035.38,16.06,16626
"11587","NORTHWEST KS EDUCATIONAL SERV CNTR","Kansas",NA,NA,2000046,"LOGAN COUNTY",18.5,0,0
"11588","NORTHWEST LOCAL","Ohio",30785000,4,3904990,"STARK COUNTY",109.14,18.22,1989
"11589","NORTHWEST LOCAL","Ohio",93887000,14,3904736,"HAMILTON COUNTY",471.97,19.52,9212
"11590","NORTHWEST LOCAL","Ohio",18277000,3,3904963,"SCIOTO COUNTY",107,15.58,1667
"11591","NORTHWEST OHIO EDUCATIONAL SERVICE CENTER","Ohio",25749000,NA,3900015,"FULTON COUNTY",86.5,0,0
"11592","NORTHWEST PASSAGE HIGH SCHOOL","Minnesota",2003000,1,2700173,"ANOKA COUNTY",13.14,13.01,171
"11593","NORTHWEST PREPARATORY","Texas",4530000,2,4800191,"HARRIS COUNTY",29.03,12.61,366
"11594","NORTHWEST PUBLIC SCHOOLS","Nebraska",15553000,5,3174580,"HALL COUNTY",101.41,13.95,1415
"11595","NORTHWEST R-I","Missouri",68521000,10,2922890,"JEFFERSON COUNTY",451.96,15.19,6864
"11596","NORTHWEST REGIONAL ESD","Oregon",62754000,NA,4100022,"WASHINGTON COUNTY",128.69,NA,NA
"11597","NORTHWEST SP ED COOPERATIVE","Illinois",5411000,1,1700089,"STEPHENSON COUNTY",8.16,NA,NA
"11598","NORTHWEST TECH. CENTER- ALVA","Oklahoma",NA,NA,4000095,"WOODS COUNTY",0,NA,NA
"11599","NORTHWEST TECH. CENTER- FAIRVIEW","Oklahoma",NA,NA,4000071,"MAJOR COUNTY",0,NA,NA
"11600","NORTHWEST TRI-COUNTY IU 5","Pennsylvania",50583000,NA,4289150,"ERIE COUNTY",142.95,3.46,494
"11601","NORTHWEST WYOMING BOCES","Wyoming",NA,NA,5600016,"HOT SPRINGS COUNTY",0,NA,0
"11602","NORTHWESTERN  SD","Pennsylvania",19224000,4,4217880,"ERIE COUNTY",110,14.29,1572
"11603","NORTHWESTERN AREA SCHOOL DISTRICT 56-7","South Dakota",3050000,5,4651750,"SPINK COUNTY",25.71,12.52,322
"11604","NORTHWESTERN CON SCHOOL CORP","Indiana",16131000,3,1808310,"SHELBY COUNTY",80.25,18.01,1445
"11605","NORTHWESTERN CUSD 2","Illinois",4673000,3,1730540,"MACOUPIN COUNTY",32,11.16,357
"11606","NORTHWESTERN ILLINOIS ASSN","Illinois",18434000,NA,1729020,"DEKALB COUNTY",28.59,NA,NA
"11607","NORTHWESTERN LEHIGH SD","Pennsylvania",36775000,4,4217850,"LEHIGH COUNTY",151.89,15,2278
"11608","NORTHWESTERN LOCAL","Ohio",33729000,3,3904626,"CLARK COUNTY",98.56,17.74,1748
"11609","NORTHWESTERN LOCAL","Ohio",14996000,3,3910033,"WAYNE COUNTY",88.78,15.28,1357
"11610","NORTHWESTERN MICHIGAN MIGRANT","Michigan",NA,NA,2600953,"GRAND TRAVERSE COUNTY",0,NA,NA
"11611","NORTHWESTERN R-I","Missouri",2264000,2,2922920,"CHARITON COUNTY",20.68,9.38,194
"11612","NORTHWESTERN REG ED PGM","Virginia",NA,1,5100025,"FREDERICK COUNTY",0,NA,NA
"11613","NORTHWESTERN SCHOOL CORP","Indiana",18835000,4,1802040,"HOWARD COUNTY",111.08,15.08,1675
"11614","NORTHWOOD 129","North Dakota",4885000,2,3814340,"GRAND FORKS COUNTY",23.59,10.56,249
"11615","NORTHWOOD ACADEMY CS","Pennsylvania",9832000,1,4200139,"PHILADELPHIA COUNTY",50,15.42,771
"11616","NORTHWOOD LOCAL SCHOOLS","Ohio",11563000,4,3905071,"WOOD COUNTY",52.2,17.82,930
"11617","NORTHWOOD SAU OFFICE","New Hampshire",NA,NA,3399944,"ROCKINGHAM COUNTY",0,NA,NA
"11618","NORTHWOOD SCHOOL DISTRICT","New Hampshire",12295000,1,3305430,"ROCKINGHAM COUNTY",32,22.47,719
"11619","NORTHWOOD SCHOOL DISTRICT","Wisconsin",6402000,2,5509720,"WASHBURN COUNTY",31.75,11.46,364
"11620","NORTHWOOD-KENSETT COMM SCHOOL DISTRICT","Iowa",6930000,2,1921210,"WORTH COUNTY",40.87,12.21,499
"11621","NORTON","Massachusetts",40417000,5,2509000,"BRISTOL COUNTY",183.64,14.54,2670
"11622","NORTON CITY","Ohio",23372000,5,3904455,"SUMMIT COUNTY",136.34,18.86,2571
"11623","NORTON CITY PBLC SCHS","Virginia",7760000,2,5102760,"NORTON CITY",68.25,13.25,904
"11624","NORTON COMMUNITY SCHOOLS","Kansas",8417000,3,2010020,"NORTON COUNTY",75,9.99,749
"11625","NORTON SCHOOL DISTRICT","Vermont",222000,NA,5006150,"ORLEANS COUNTY",0,NA,14
"11626","NORWALK CITY","Ohio",27626000,7,3904456,"HURON COUNTY",160.16,18.36,2941
"11627","NORWALK COMM SCHOOL DISTRICT","Iowa",27380000,4,1921240,"WARREN COUNTY",180.67,13.81,2495
"11628","NORWALK SCHOOL DISTRICT","Connecticut",214991000,19,903090,"FAIRFIELD COUNTY",851.17,13.05,11111
"11629","NORWALK-LA MIRADA UNIFIED","California",210922000,28,627690,"LOS ANGELES COUNTY",816.97,24.74,20208
"11630","NORWALK-ONTARIO-WILTON SCHOOL DISTRICT","Wisconsin",9662000,2,5510770,"MONROE COUNTY",57.01,11.93,680
"11631","NORWAY J7 SCHOOL DISTRICT","Wisconsin",1422000,1,5510800,"RACINE COUNTY",8.25,8.97,74
"11632","NORWAY-VULCAN AREA SCHOOLS","Michigan",7561000,3,2626040,"DICKINSON COUNTY",38.86,19.12,743
"11633","NORWAYNE LOCAL","Ohio",14608000,3,3905056,"WAYNE COUNTY",71.21,19.49,1388
"11634","NORWELL","Massachusetts",32324000,4,2509030,"PLYMOUTH COUNTY",141.91,16.46,2336
"11635","NORWICH CITY SCHOOL DISTRICT","New York",35946000,4,3621330,"CHENANGO COUNTY",169.09,12.05,2037
"11636","NORWICH FREE ACADEMY","Connecticut",60000,1,905371,"NEW LONDON COUNTY",152.7,15.16,2315
"11637","NORWICH SCHOOL DISTRICT","Connecticut",86242000,14,903120,"NEW LONDON COUNTY",236.9,16.11,3817
"11638","NORWICH SCHOOL DISTRICT","Vermont",10822000,1,5006180,"WINDSOR COUNTY",26.2,NA,NA
"11639","NORWIN SD","Pennsylvania",58664000,7,4217940,"WESTMORELAND COUNTY",304.75,17.06,5199
"11640","NORWOOD","Oklahoma",1604000,1,4021900,"CHEROKEE COUNTY",13.2,13.11,173
"11641","NORWOOD","Massachusetts",58478000,8,2509060,"NORFOLK COUNTY",264.49,13.14,3476
"11642","NORWOOD CITY","Ohio",29064000,6,3904457,"HAMILTON COUNTY",154.37,13.23,2043
"11643","NORWOOD ESD 63","Illinois",4605000,3,1729040,"PEORIA COUNTY",29.36,15.97,469
"11644","NORWOOD PUBLIC SCHOOL","New Jersey",10564000,1,3411850,"BERGEN COUNTY",44,13.91,612
"11645","NORWOOD R-I","Missouri",4288000,2,2922950,"WRIGHT COUNTY",44.37,10.71,475
"11646","NORWOOD SCHOOL DISTRICT NO. R-2J","Colorado",3716000,2,805880,"SAN MIGUEL COUNTY",22.69,12.34,280
"11647","NORWOOD-NORFOLK CENTRAL SCHOOL DISTRICT","New York",19823000,3,3621360,"ST. LAWRENCE COUNTY",80.72,12.61,1018
"11648","NOSOTROS  INC","Arizona",1546000,1,400356,"PIMA COUNTY",NA,NA,178
"11649","NOTTAWA COMMUNITY SCHOOL","Michigan",1161000,1,2626100,"ST. JOSEPH COUNTY",11.6,10.95,127
"11650","NOTTEN SCHOOL FOR SCIENCE TECHNOLOGY ENGINEERING AND MATHE","Ohio",NA,1,3901402,"FRANKLIN COUNTY",NA,NA,NA
"11651","NOTTINGHAM SCHOOL DISTRICT","New Hampshire",9748000,1,3305460,"ROCKINGHAM COUNTY",36,20.83,750
"11652","NOTTOWAY CO PBLC SCHS","Virginia",23215000,6,5102790,"NOTTOWAY COUNTY",165.75,14.22,2357
"11653","NOTUS DISTRICT","Idaho",3044000,3,1602460,"CANYON COUNTY",24.18,15.59,377
"11654","NOVA ACADEMY","Texas",1536000,1,4800072,"DALLAS COUNTY",11.46,21.03,241
"11655","NOVA ACADEMY (SOUTHEAST)","Texas",4988000,2,4800201,"DALLAS COUNTY",39.25,15.08,592
"11656","NOVA ALTERNATIVE SCHOOL","Nebraska",NA,1,3100145,"DOUGLAS COUNTY",2.52,0,0
"11657","NOVA CLASSICAL ACADEMY","Minnesota",6244000,2,2700337,"RAMSEY COUNTY",45.22,15.24,689
"11658","NOVATO UNIFIED","California",94273000,17,627720,"MARIN COUNTY",380.41,21.03,7999
"11659","NOVI COMMUNITY SCHOOL DISTRICT","Michigan",85702000,9,2626130,"OAKLAND COUNTY",363.11,17.19,6242
"11660","NOVICE ISD","Texas",957000,4,4833210,"BROWN COUNTY",11.81,6.44,76
"11661","NOWATA","Oklahoma",8285000,3,4021930,"NOWATA COUNTY",70.6,14.16,1000
"11662","NOXON ELEM","Montana",1588000,2,3000090,"SANDERS COUNTY",10.1,10.99,111
"11663","NOXON H S","Montana",1407000,1,3019500,"SANDERS COUNTY",7.14,9.38,67
"11664","NOXUBEE COUNTY SCHOOL DISTRICT","Mississippi",18041000,6,2803300,"NOXUBEE COUNTY",126.86,14.54,1844
"11665","NRHEG SCHOOL DISTRICT","Minnesota",9819000,2,2700089,"WASECA COUNTY",63.52,15.13,961
"11666","NSOROMA INSTITUTE","Michigan",2101000,1,2600167,"WAYNE COUNTY",13.5,16.22,219
"11667","NUECES CANYON CISD","Texas",4054000,2,4833240,"EDWARDS COUNTY",29.87,9.61,287
"11668","NUESTRO ELEMENTARY","California",1598000,2,627750,"SUTTER COUNTY",30.7,27.33,839
"11669","NURSERY ISD","Texas",2396000,2,4833270,"VICTORIA COUNTY",10.89,10.93,119
"11670","NUTLEY PUBLIC SCHOOL DISTRICT","New Jersey",66885000,7,3411880,"ESSEX COUNTY",288.4,13.64,3934
"11671","NUVIEW UNION","California",20351000,8,627780,"RIVERSIDE COUNTY",108.95,23.27,2535
"11672","NW REGION INTERDISTRICT COUNCIL","Minnesota",1469000,1,2700039,"MARSHALL COUNTY",0,NA,0
"11673","NW SUBURBAN SPEC EDUC ORG","Illinois",42931000,4,1700032,"COOK COUNTY",69.3,NA,NA
"11674","NYACK UNION FREE SCHOOL DISTRICT","New York",74622000,5,3621480,"ROCKLAND COUNTY",236.6,12.17,2880
"11675","NYC CHARTER HS - AECI","New York",NA,1,3600959,"BRONX COUNTY",30.51,13.08,399
"11676","NYC SPECIAL SCHOOLS - DISTRICT 75","New York",NA,57,3600135,"NEW YORK COUNTY",4678.53,4.7,22002
"11677","NYE COUNTY SCHOOL DISTRICT","Nevada",68854000,27,3200360,"NYE COUNTY",274.8,20.4,5605
"11678","NYE ELEM","Montana",91000,1,3019530,"STILLWATER COUNTY",1,4,4
"11679","NYOS CHARTER SCHOOL","Texas",7761000,2,4800058,"TRAVIS COUNTY",64.15,12.46,799
"11680","NYS OFFICE FOR PEOPLE WITH DEVELOPMENTAL DISABILITIES","New York",NA,1,3600947,"ALBANY COUNTY",0,NA,NA
"11681","NYSSA SD 26","Oregon",12880000,3,4109000,"MALHEUR COUNTY",64.66,17.99,1163
"11682","O FALLON CCSD 90","Illinois",36187000,7,1729760,"ST. CLAIR COUNTY",194.56,17.9,3483
"11683","O FALLON TWP HSD 203","Illinois",31091000,1,1729790,"ST. CLAIR COUNTY",132.5,18.94,2509
"11684","O'DONNELL ISD","Texas",5632000,2,4833390,"LYNN COUNTY",32.76,9.65,316
"11685","O'NEILL PUBLIC SCHOOLS","Nebraska",10335000,3,3174850,"HOLT COUNTY",69.62,10.9,759
"11686","O.N.E. ACADEMY THE","Ohio",NA,1,3901446,"CUYAHOGA COUNTY",NA,NA,NA
"11687","OAHE SPECIAL EDUCATION COOPERATIVE","South Dakota",18000,NA,4670000,"WALWORTH COUNTY",3,NA,NA
"11688","OAK BLUFFS","Massachusetts",9999000,1,2504650,"DUKES COUNTY",45.01,8.6,387
"11689","OAK CREEK-FRANKLIN JOINT SCHOOL DISTRICT","Wisconsin",71117000,10,5510830,"MILWAUKEE COUNTY",358.88,17.58,6309
"11690","OAK GROVE","Oklahoma",1338000,1,4022160,"PAYNE COUNTY",11,17.73,195
"11691","OAK GROVE ELEMENTARY","California",98595000,20,627810,"SANTA CLARA COUNTY",472.2,24.39,11518
"11692","OAK GROVE R-VI","Missouri",20727000,4,2923010,"JACKSON COUNTY",141.15,14.42,2036
"11693","OAK GROVE SD 68","Illinois",4003000,2,1729100,"PEORIA COUNTY",26,15.12,393
"11694","OAK GROVE SD 68","Illinois",17340000,1,1729130,"LAKE COUNTY",71.5,12.32,881
"11695","OAK GROVE UNION ELEMENTARY","California",8990000,3,627840,"SONOMA COUNTY",42.14,21.31,898
"11696","OAK HARBOR SCHOOL DISTRICT","Washington",55535000,10,5305940,"ISLAND COUNTY",258.67,22.3,5769
"11697","OAK HILL R-I","Missouri",1472000,1,2923040,"DENT COUNTY",7.03,15.93,112
"11698","OAK HILL UNION LOCAL","Ohio",14243000,2,3904776,"JACKSON COUNTY",77,17.09,1316
"11699","OAK HILL UNITED SCHOOL CORP","Indiana",16288000,5,1808340,"GRANT COUNTY",93.51,16.82,1573
"11700","OAK HILLS LOCAL","Ohio",68736000,9,3904737,"HAMILTON COUNTY",410.16,19.35,7938
"11701","OAK LAND VOCATIONAL COOPERATVE","Minnesota",1989000,9,2700033,"ISANTI COUNTY",10.32,18.12,187
"11702","OAK LAWN CHSD 229","Illinois",32829000,1,1729220,"COOK COUNTY",107.8,17.52,1889
